epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1716.18,1.3531,0.53028,0.77151,0.96275,0.96758,0.97872,0.62914,1.24969,0.48613,0.7983,0.000840286,0.000840286,0.000840286
43,1759.2,1.39918,0.63824,0.77574,0.96855,0.96723,0.98025,0.62773,1.24292,0.55695,0.79972,0.000812,0.000812,0.000812
44,1802.44,1.36888,0.59202,0.77003,0.95619,0.97437,0.98353,0.62782,1.26298,0.50119,0.7975,0.000783714,0.000783714,0.000783714
45,1847.33,1.41461,0.57494,0.77344,0.96655,0.97781,0.98352,0.60286,1.33665,0.51627,0.79956,0.000755429,0.000755429,0.000755429
46,1891.24,1.38128,0.55063,0.77479,0.96735,0.97841,0.98404,0.61582,1.27613,0.50267,0.79759,0.000727143,0.000727143,0.000727143
47,1937.87,1.35767,0.54599,0.7639,0.97094,0.97487,0.98366,0.61779,1.2815,0.48897,0.79781,0.000698857,0.000698857,0.000698857
48,1980.26,1.35043,0.54703,0.76544,0.96993,0.97386,0.98587,0.61033,1.30681,0.49643,0.79887,0.000670571,0.000670571,0.000670571
49,2023.68,1.34082,0.53425,0.7745,0.97008,0.977,0.98487,0.60696,1.31716,0.49731,0.79839,0.000642286,0.000642286,0.000642286
50,2065.93,1.33452,0.52486,0.76867,0.96852,0.97243,0.98179,0.61144,1.30845,0.49783,0.79815,0.000614,0.000614,0.000614
51,2107.97,1.30358,0.50828,0.77255,0.96908,0.97492,0.98421,0.60378,1.32486,0.49741,0.79831,0.000585714,0.000585714,0.000585714
52,2149.96,1.31177,0.51713,0.77233,0.97579,0.97852,0.98665,0.61328,1.30311,0.48809,0.7972,0.000557429,0.000557429,0.000557429
53,2191.86,1.3056,0.51728,0.77241,0.97233,0.97508,0.98455,0.62515,1.27359,0.48517,0.79803,0.000529143,0.000529143,0.000529143
54,2243.32,1.29746,0.50616,0.77543,0.96932,0.97619,0.98395,0.63023,1.23559,0.48069,0.79687,0.000500857,0.000500857,0.000500857
55,2287.48,1.31058,0.51242,0.77172,0.96685,0.97212,0.98406,0.6253,1.25736,0.48526,0.79668,0.000472571,0.000472571,0.000472571
56,2334.27,1.30066,0.51524,0.77672,0.97115,0.97522,0.98592,0.63624,1.23009,0.47354,0.79726,0.000444286,0.000444286,0.000444286
57,2414.84,1.27937,0.50234,0.76641,0.96696,0.97437,0.98269,0.6365,1.2245,0.47359,0.79662,0.000416,0.000416,0.000416
58,2452.72,1.30955,0.51044,0.77357,0.96376,0.96029,0.97784,0.60869,1.34979,0.51568,0.79992,0.000387714,0.000387714,0.000387714
59,2493.32,1.30611,0.50886,0.77077,0.95668,0.95748,0.97644,0.60679,1.3483,0.52086,0.79932,0.000359429,0.000359429,0.000359429
60,2536.59,1.30984,0.50613,0.77399,0.97145,0.97536,0.9839,0.63186,1.23471,0.47707,0.7964,0.000331143,0.000331143,0.000331143
61,2594.06,1.34507,0.53337,0.77517,0.9626,0.96729,0.98043,0.6169,1.30566,0.49799,0.79729,0.000302857,0.000302857,0.000302857
62,2633.64,1.32305,0.51954,0.77471,0.96814,0.9666,0.981,0.61383,1.30253,0.50252,0.7978,0.000274571,0.000274571,0.000274571
63,2673.89,1.30535,0.51313,0.77503,0.9694,0.97257,0.98283,0.62437,1.26511,0.49055,0.79624,0.000246286,0.000246286,0.000246286
64,2714.67,1.30554,0.50705,0.7731,0.96885,0.97347,0.98296,0.62052,1.27409,0.48912,0.79672,0.000218,0.000218,0.000218
65,2754.9,1.29912,0.51208,0.77476,0.96723,0.97336,0.98272,0.62283,1.26122,0.48546,0.79606,0.000189714,0.000189714,0.000189714
66,2796.28,1.2801,0.50646,0.77392,0.96774,0.9725,0.98124,0.61681,1.29974,0.50001,0.79711,0.000161429,0.000161429,0.000161429
67,2836.94,1.29125,0.51581,0.77133,0.96917,0.97758,0.98372,0.62859,1.25163,0.48087,0.79609,0.000133143,0.000133143,0.000133143
68,2878.22,1.2708,0.50034,0.76861,0.97,0.97275,0.98262,0.63069,1.25254,0.48297,0.7956,0.000104857,0.000104857,0.000104857
69,2918.79,1.27788,0.49662,0.77318,0.96839,0.97184,0.98202,0.61468,1.30391,0.4938,0.79656,7.65714e-05,7.65714e-05,7.65714e-05
70,2959.88,1.27569,0.50305,0.77297,0.97137,0.97951,0.98462,0.6254,1.2639,0.4792,0.79582,4.82857e-05,4.82857e-05,4.82857e-05
