mite ID,zone ID,status,max diff,local diff,recording
mite_0010,alive,dead,18.0,15.0,5
mite_0010,alive,dead,13.0,11.0,6
mite_0010,alive,dead,13.0,12.0,7
mite_0010,alive,dead,16.0,14.0,8
mite_0010,alive,dead,12.0,11.0,9
mite_0010,alive,dead,12.0,10.666666666666666,10
mite_0010,alive,dead,12.0,10.666666666666666,11
mite_0010,alive,dead,13.0,12.0,12
mite_0011,alive,dead,12.0,11.0,1
mite_0011,alive,dead,12.0,11.0,2
mite_0011,alive,alive,38.0,35.0,3
mite_0011,alive,alive,30.0,24.333333333333332,4
mite_0011,alive,alive,24.0,20.333333333333332,5
mite_0011,alive,alive,21.0,18.0,6
mite_0011,alive,alive,23.0,21.0,7
mite_0011,alive,alive,36.0,30.666666666666668,8
mite_0011,alive,dead,16.0,12.666666666666666,9
mite_0011,alive,alive,28.0,25.333333333333332,10
mite_0011,alive,alive,31.0,25.0,11
mite_0011,alive,alive,46.0,35.333333333333336,12
mite_0012,dead,dead,10.0,9.666666666666666,1
mite_0012,dead,dead,13.0,10.333333333333334,2
mite_0012,dead,dead,10.0,9.666666666666666,3
mite_0012,dead,dead,12.0,10.666666666666666,4
mite_0012,dead,dead,11.0,10.333333333333334,5
mite_0012,dead,dead,12.0,10.666666666666666,6
mite_0012,dead,dead,11.0,10.0,7
mite_0012,dead,dead,11.0,9.666666666666666,8
mite_0012,dead,dead,12.0,10.333333333333334,9
mite_0012,dead,dead,11.0,9.666666666666666,10
mite_0012,dead,dead,11.0,10.333333333333334,11
mite_0012,dead,dead,12.0,10.666666666666666,12
mite_0013,dead,dead,12.0,10.666666666666666,1
mite_0013,dead,dead,12.0,11.333333333333334,2
mite_0013,dead,dead,14.0,11.333333333333334,3
mite_0013,dead,dead,11.0,10.666666666666666,4
mite_0013,dead,dead,12.0,11.333333333333334,5
mite_0013,dead,dead,11.0,10.0,6
mite_0013,dead,dead,12.0,11.0,7
mite_0013,dead,dead,13.0,10.666666666666666,8
mite_0013,dead,dead,12.0,10.666666666666666,9
mite_0013,dead,dead,11.0,10.666666666666666,10
mite_0013,dead,dead,11.0,10.333333333333334,11
mite_0013,dead,dead,13.0,11.0,12
mite_0014,dead,dead,11.0,10.666666666666666,1
mite_0014,dead,dead,12.0,10.0,2
mite_0014,dead,dead,12.0,11.0,3
mite_0014,dead,dead,13.0,11.333333333333334,4
mite_0014,dead,dead,12.0,11.0,5
mite_0014,dead,dead,12.0,11.333333333333334,6
mite_0014,dead,dead,12.0,10.666666666666666,7
mite_0014,dead,dead,13.0,11.333333333333334,8
mite_0014,dead,dead,11.0,10.666666666666666,9
mite_0014,dead,dead,12.0,10.666666666666666,10
mite_0014,dead,dead,12.0,10.666666666666666,11
mite_0014,dead,dead,13.0,11.333333333333334,12
mite_0015,alive,dead,12.0,10.666666666666666,1
mite_0015,alive,dead,10.0,10.0,2
mite_0015,alive,dead,13.0,11.0,3
mite_0015,alive,dead,14.0,12.0,4
mite_0015,alive,dead,12.0,11.0,5
mite_0015,alive,dead,11.0,10.333333333333334,6
mite_0015,alive,dead,11.0,10.666666666666666,7
mite_0015,alive,dead,12.0,11.0,8
mite_0015,alive,dead,12.0,11.0,9
mite_0015,alive,dead,12.0,11.0,10
mite_0015,alive,dead,12.0,11.0,11
mite_0015,alive,dead,11.0,10.666666666666666,12
mite_0016,alive,dead,12.0,9.333333333333334,1
mite_0016,alive,dead,13.0,12.0,2
mite_0016,alive,dead,10.0,9.0,3
mite_0016,alive,dead,11.0,10.0,4
mite_0016,alive,dead,10.0,10.0,5
mite_0016,alive,dead,10.0,9.666666666666666,6
mite_0016,alive,dead,10.0,9.666666666666666,7
mite_0016,alive,dead,11.0,10.0,8
mite_0016,alive,dead,12.0,9.666666666666666,9
mite_0016,alive,dead,11.0,9.666666666666666,10
mite_0016,alive,dead,11.0,10.0,11
mite_0016,alive,dead,11.0,9.666666666666666,12
mite_0017,dead,dead,11.0,10.333333333333334,1
mite_0017,dead,dead,12.0,10.666666666666666,2
mite_0017,dead,dead,12.0,11.333333333333334,3
mite_0017,dead,dead,13.0,11.333333333333334,4
mite_0017,dead,dead,12.0,11.0,5
mite_0017,dead,dead,11.0,10.666666666666666,6
mite_0017,dead,dead,11.0,9.666666666666666,7
mite_0017,dead,dead,11.0,10.333333333333334,8
mite_0017,dead,dead,11.0,10.666666666666666,9
mite_0017,dead,dead,11.0,11.0,10
mite_0017,dead,dead,13.0,10.666666666666666,11
mite_0017,dead,dead,11.0,10.333333333333334,12
mite_0018,alive,dead,11.0,10.666666666666666,1
mite_0018,alive,dead,11.0,10.333333333333334,2
mite_0018,alive,dead,13.0,11.333333333333334,3
mite_0018,alive,dead,12.0,10.666666666666666,4
mite_0018,alive,dead,12.0,11.0,5
mite_0018,alive,dead,11.0,10.333333333333334,6
mite_0018,alive,dead,13.0,11.0,7
mite_0018,alive,dead,11.0,10.333333333333334,8
mite_0018,alive,dead,12.0,11.333333333333334,9
mite_0018,alive,dead,15.0,12.0,10
mite_0018,alive,dead,11.0,11.0,11
mite_0018,alive,dead,13.0,11.0,12
mite_0019,dead,dead,11.0,9.666666666666666,1
mite_0019,dead,dead,11.0,10.666666666666666,2
mite_0019,dead,dead,11.0,10.333333333333334,3
mite_0019,dead,dead,11.0,10.0,4
mite_0019,dead,dead,11.0,9.666666666666666,5
mite_0019,dead,dead,12.0,10.666666666666666,6
mite_0019,dead,dead,12.0,10.0,7
mite_0019,dead,dead,10.0,8.666666666666666,8
mite_0019,dead,dead,10.0,9.333333333333334,9
mite_0019,dead,dead,11.0,9.333333333333334,10
mite_0019,dead,dead,11.0,10.333333333333334,11
mite_0019,dead,dead,10.0,9.666666666666666,12
mite_0020,alive,dead,11.0,10.666666666666666,1
mite_0020,alive,dead,11.0,9.666666666666666,2
mite_0020,alive,dead,12.0,11.0,3
mite_0020,alive,dead,11.0,10.666666666666666,4
mite_0020,alive,dead,12.0,10.333333333333334,5
mite_0020,alive,dead,11.0,10.333333333333334,6
mite_0020,alive,dead,11.0,10.333333333333334,7
mite_0020,alive,dead,12.0,11.333333333333334,8
mite_0020,alive,dead,10.0,9.666666666666666,9
mite_0020,alive,dead,11.0,10.0,10
mite_0020,alive,dead,10.0,9.666666666666666,11
mite_0020,alive,dead,11.0,10.333333333333334,12
mite_0021,dead,dead,12.0,11.333333333333334,1
mite_0021,dead,dead,11.0,10.666666666666666,2
